Sci_Name,Min_TempC,Max_TempC,Min_Salinity,Max_Salinity,Min_ReproTempC,Max_ReproTempC,Min_ReproSal,Max_ReproSal,WeekReprod,Min_WaterDepth(m),Max_WaterDepth(m),OptiMin_Depth(m),OptiMax_Depth(m),OptiMin_TempC,OptiMax_TempC,OptiMin_Salinity,OptiMax_Salinity,Notes,Reference
Alosa sapidissima,2,26,5,33,8,26,0,7.6,NA,0,375,50,100,13,18,NA,NA,Requires specific salinities at different life stages. Optimal temp is for sea surface,
Amphibalanus amphitrite,0,40,10,52,12,23,20,35,NA,NA,NA,NA,NA,15,23,NA,NA,"Upper reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (up to 35 ppt)",
Amphibalanus improvisus,-2,38,0,40,10,30,2,40,NA,NA,10,NA,NA,10,20,10,20,,
Batillaria attramentaria,-2,40,7,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Botrylloides violaceus,-0.6,29,20,38,15,25,26,38,NA,NA,15,0,7,NA,NA,NA,NA,Min temp of -1 cited from Carver et al. 2006 (in Lowen & DiBacco),
Botryllus schlosseri,-1,30,14,44,11,999,25,35,NA,1,200,NA,NA,NA,NA,NA,NA,"Upper reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (up to 35 ppt)",Min -1 from Lowen and DiBacco 2017
Bugula neritina,2,30.6,18,40,7,999,31,35,NA,0,12,NA,NA,NA,NA,NA,NA,,
Caprella mutica,-2,28,11,40,4,20,31,35,NA,NA,17,NA,NA,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Carcinus maenas,-1,35,4,54,9,26,17,35,NA,NA,55,NA,NA,NA,NA,10,NA,"Upper reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (up to 35 ppt). Adult minimum salinities & min/max repro temp cited in Duncombe and Therriault 2017. Behrens Yamada et al. (2015) suggest optimal repro temp between 10-18C",
Ciona savignyi,-1.7,27,24,37,12,25,31,35,NA,NA,100,12,23,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Cordylophora caspia,-10,30,0,35,10,28,0.2,30,NA,0,2,NA,NA,NA,NA,NA,NA,Different populations require different water temperatures for asexual reproduction. Populations in Germany had the lowest asexual reproductive threshold and was chosen here (Kinne 1956 qtd. in Fofonoff et al. 2003); depth from MARLIN,
Crassostrea gigas,-1.9,25,5,41,16,30,20,30,NA,NA,40,NA,NA,NA,NA,NA,NA,,
Crepidula onyx,10,30,10,45,15,999,15,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diadumene lineata,0,27.5,7,74,NA,NA,8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sexual reproduction has only been observed when water temps. reached 25C. In its introduced range this species is only known to reproduce asexually.,
Didemnum vexillum,-2,24,10,35,14,20,31,35,NA,1,81,NA,NA,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",Repro temps in Valentine et al. 2009 larval recruitment of the invs.
Diplosoma listerianum,-0.6,30,18,40,15,999,31,35,NA,NA,80,NA,NA,4,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Ectopleura crocea,0,30,23,34,12,26,31,34,NA,NA,40,NA,NA,NA,26,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Eriocheir sinensis,0,30,0,35,12,18,15,25,NA,NA,NA,NA,NA,7,30,NA,NA,,
Eusarsiella zostericola,3,33,18,42,NA,NA,31,35,NA,0,44.5,NA,NA,NA,NA,NA,NA,,
Hediste diadroma,5,20,4,34,18,999,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survival thresholds are reproductive thresholds (survival not available in literature),
Ilyanassa obsoleta,0,30,10,35,16.5,28,21,35,NA,NA,5,NA,NA,NA,NA,NA,NA,"Upper reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (up to 35 ppt)",
Jassa marmorata,-2,27,12,38,NA,NA,31,35,NA,NA,30,NA,NA,NA,NA,NA,NA,,
Limnoithona tetraspina,4,999,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper temperature limit for this species is unknown. However, we assume that it can tolerate max. temps. in Bering Sea (~14C) because larvae have been successful raised in laboratory at 18C (Fofonoff et al. 2003)",
Limnoria tripunctata,2,30,19,50,15,30,31,35,NA,0,18,NA,NA,NA,NA,20,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Macoma petalum,0,33,2.5,35,10,14,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Melita nitida,0,32,0,35,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Molgula citrina,-1.4,12.2,17,35,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Molgula manhattensis,5,999,10,35,10,999,31,35,NA,NA,90,NA,NA,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
Mya arenaria,-0.2,32.5,3,35,4,23,10,35,NA,NA,100,NA,10,NA,NA,NA,NA,,
Mytilicola orientalis,NA,NA,31,35,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parasite on mussels Mytilus edulis, Crassostrea gigas, and Mytilus galloprovincialis; use occurrence records to map tolerances",
Mytilus galloprovincialis,7,31,10,38,15,25,20,38,NA,NA,NA,NA,NA,10,20,NA,NA,,
Nematostella vectensis,-1.5,32.5,7,52,NA,NA,12,34,NA,NA,2,NA,< 1,NA,NA,NA,NA,,
Palaemon macrodactylus,2,33,0.7,51,NA,NA,3,34,NA,NA,NA,NA,NA,14,26,NA,NA,,
Paracorophium sp.,NA,NA,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Has been reported in Humboldt Bay, CA where summer salinities range from 31 to 35 ppt; Fofonoff et al. 2003 say ""nearly full salinity"" so we use lower limit of Humboldt Bay range (approximate range from Lomeli 2011, M.Sc. thesis Humboldt University)",
Petricolaria pholadiformis,1,26,10,35,NA,NA,31,35,Larvae spend between 10-14 days in the water column (Duval 1963),NA,30,NA,NA,NA,NA,NA,NA,,
Philine auriformis,NA,NA,18,35,NA,NA,31,35,NA,NA,300,NA,NA,NA,NA,NA,NA,,
Polydora cornuta,-2,29,2,75,10,29,5,75,"Larval development depends on temperature. Larvae settle within 60 days at 10C and 16-28 days at 12C. At 18C, time to sexual maturity is 33 days. See lit. review .docx for more information.",NA,NA,NA,NA,NA,NA,NA,NA,,
Pseudopolydora cf. kempi,NA,29,1.6,37,NA,NA,31,35,NA,NA,NA,NA,1,NA,NA,NA,NA,,
Salmo salar,-0.7,28,0,35.3,7.2,10,0,0,NA,NA,NA,NA,NA,4,12,NA,NA,Early life stages require freshwater - max reproductive salinity is therefore set to 0,
Schizoporella japonica,7,19,15,35,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,No information found; use current distribution to map tolerances,
Sinelobus cf. stanfordi,-2,27,0,52,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Styela clava,-2,27,18,35,15,999,20,35,NA,NA,40,15,25,NA,NA,NA,NA,,Min temp -2 from Clarke & Therriault 2007 apparently they cite a min repro temp of 14
Synidotea laticauda,0,30,1,35,4,33,10,30,NA,NA,29+,0,10,NA,NA,NA,NA,,
Teredo navalis,0,30,5,45,11,30,9,35,NA,NA,NA,NA,NA,15,25,NA,NA,"Upper reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (up to 35 ppt)",
Venerupis philippinarum,0,37,12,50,18,999,24,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Watersipora subtorquata complex,6.7,30.6,25,40,NA,NA,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproductive salinity requirements are unknown. Because this is a marine species that is not known to reproduce in fresh/brackish water, we assume that this species can reproduce in seawater (33 to 35 ppt)",
